,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
133,133,"мониторинг сети кабельного телевидения, сети ip tv. организация аварийно-восстановительных работ на сетях связи. контроль проведения ремонтно-настроечных работ. взаимодействие с первой и второй линиями технической поддержки пользователей. работа в информационных системах и базах данных.",работа в крупнейшем в россии провайдере цифровых услуг и решений. оформление по тк рф. белая заработная плата (оклад + квартальная премия). возможность профессионального и карьерного роста. сменный график работы: 1\3.,"высшее образование (телекоммуникации). уверенный уровень владения пк. активность, умение работать в режиме многозадачности. знания принципов построения сетей связи и сетей передачи данных. опыт работы в сфере телекоммуникаций будет вашим преимуществом. работа в крупнейшем в россии провайдере цифровых услуг и решений. оформление по тк рф. белая заработная плата (оклад + квартальная премия). возможность профессионального и карьерного роста. сменный график работы: 1\3.","мониторинг сети кабельного телевидения, сети ip tv. организация аварийно-восстановительных работ на сетях связи. контроль проведения ремонтно-настроечных работ. взаимодействие с первой и второй линиями технической поддержки пользователей. работа в информационных системах и базах данных. высшее образование (телекоммуникации). уверенный уровень владения пк. активность, умение работать в режиме многозадачности. знания принципов построения сетей связи и сетей передачи данных. опыт работы в сфере телекоммуникаций будет вашим преимуществом. работа в крупнейшем в россии провайдере цифровых услуг и решений. оформление по тк рф. белая заработная плата (оклад + квартальная премия). возможность профессионального и карьерного роста. сменный график работы: 1\3.",инженер электросвязи,Санкт-Петербург,35000.0,40000.0,Ростелеком,2019-09-23T10:57:31+0300,noExperience,full,shift,
1390,1390,выполнение работ по ремонту абонентских линий; настройка абонентского оборудования;,"работа в крупнейшей цифровой компании россии; белая заработная плата; система бонусов по итогам работы за месяц; оформление по тк рф (официальная заработная плата, оплачиваемый больничный). сменный график работы","приветствуется опыт работы, связанный с монтажом линий связи, ремонтом и настройкой пк; среднее специальное образование работа в крупнейшей цифровой компании россии; белая заработная плата; система бонусов по итогам работы за месяц; оформление по тк рф (официальная заработная плата, оплачиваемый больничный). сменный график работы","выполнение работ по ремонту абонентских линий; настройка абонентского оборудования; приветствуется опыт работы, связанный с монтажом линий связи, ремонтом и настройкой пк; среднее специальное образование работа в крупнейшей цифровой компании россии; белая заработная плата; система бонусов по итогам работы за месяц; оформление по тк рф (официальная заработная плата, оплачиваемый больничный). сменный график работы",инженер электросвязи,Тюмень,25000.0,,Ростелеком,2019-10-10T06:49:12+0300,noExperience,full,shift,
1178,1178,"эксплуатация и техническое обслуживание телекоммуникационных линий связи; выполнение строительно-монтажных, пуско-наладочных работ средств связи на действующих и вновь вводимых объектах; участие в составлении исполнительной документации на вновь построенные обществом телекоммуникационные линий связи, в пределах своей компетенции; выполнение аварийно-восстановительных работ в пределах зоны ответственности группы; разработка решений по организации подключения к сетям связи объектов заказчика; установка и обслуживание спутникового оборудования","работа на месторождении нефтедобывающего дочернего общества компании пао «газпром нефть»; место работы: янао, восточно-мессояхское месторождение; пункт сбора на вахту: г.новый уренгой график работы: вахтовый 30х30; компенсация проезда до г.новый уренгой ж/д плацкарт от городов омск, тюмень, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самараомск, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самара; дмс; проживание в вахтовом жилом комплексе; есть столовая, компенсация питания за счет организации; годовой бонус по результатам деятельности; уровень заработной платы обсуждается по итогам собеседования.","образование высшее: связь, информационные технологии; опыт работы в телекоммуникационной сфере не менее 1-го года; знание основ радиотехники; опыт работы по строительству кабельных линий связи; отсутствие противопоказаний к работе на высоте и в районах крайнего севера. эксплуатация и техническое обслуживание телекоммуникационных линий связи; выполнение строительно-монтажных, пуско-наладочных работ средств связи на действующих и вновь вводимых объектах; участие в составлении исполнительной документации на вновь построенные обществом телекоммуникационные линий связи, в пределах своей компетенции; выполнение аварийно-восстановительных работ в пределах зоны ответственности группы; разработка решений по организации подключения к сетям связи объектов заказчика; установка и обслуживание спутникового оборудования работа на месторождении нефтедобывающего дочернего общества компании пао «газпром нефть»; место работы: янао, восточно-мессояхское месторождение; пункт сбора на вахту: г.новый уренгой график работы: вахтовый 30х30; компенсация проезда до г.новый уренгой ж/д плацкарт от городов омск, тюмень, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самараомск, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самара; дмс; проживание в вахтовом жилом комплексе; есть столовая, компенсация питания за счет организации; годовой бонус по результатам деятельности; уровень заработной платы обсуждается по итогам собеседования.","образование высшее: связь, информационные технологии; опыт работы в телекоммуникационной сфере не менее 1-го года; знание основ радиотехники; опыт работы по строительству кабельных линий связи; отсутствие противопоказаний к работе на высоте и в районах крайнего севера. эксплуатация и техническое обслуживание телекоммуникационных линий связи; выполнение строительно-монтажных, пуско-наладочных работ средств связи на действующих и вновь вводимых объектах; участие в составлении исполнительной документации на вновь построенные обществом телекоммуникационные линий связи, в пределах своей компетенции; выполнение аварийно-восстановительных работ в пределах зоны ответственности группы; разработка решений по организации подключения к сетям связи объектов заказчика; установка и обслуживание спутникового оборудования работа на месторождении нефтедобывающего дочернего общества компании пао «газпром нефть»; место работы: янао, восточно-мессояхское месторождение; пункт сбора на вахту: г.новый уренгой график работы: вахтовый 30х30; компенсация проезда до г.новый уренгой ж/д плацкарт от городов омск, тюмень, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самараомск, уфа, екатеринбург, новокузнецк, тара, серов, ноябрьск, новосибирск, муравленко, югорск, томск, ижевск, москва, самара; дмс; проживание в вахтовом жилом комплексе; есть столовая, компенсация питания за счет организации; годовой бонус по результатам деятельности; уровень заработной платы обсуждается по итогам собеседования.",инженер электросвязи,Тюмень,,,Газпром нефть,2019-09-23T15:48:09+0300,between1And3,full,flyInFlyOut,
