,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1027,1027,"разработка десктопной части и фреймворка erp системы глобал реализация нового функционала, исправление ошибок написание модульных тестов",,знание одного из объектно-ориентированных языков уверенное знание ооп алгоритмическая подготовка вы можете ответить на вопросы: &quot;что такое указатель?&quot; и &quot;чем отличается массив от списка?&quot;,"приглашает к сотрудничеству в команду которая занимается созданием инструмента для разработчиков бизнес-приложений: десктопного клиентского приложения erp системы global. клиентское приложение является графическим фреймворком позволяющим создавать и отображать бизнес-приложения erp-системы. фреймворк предоставляет набор высокоуровневых графических примитивов (фреймы-компоновщики, гриды, деревья, контролы, графики, график ганта, олап, cad и многие другие), средства выполнения dsl и отладки, разнообразный api и мета-модель процессов бизнес-приложений. разработка десктопной части и фреймворка erp системы глобал реализация нового функционала, исправление ошибок написание модульных тестов знание одного из объектно-ориентированных языков уверенное знание ооп алгоритмическая подготовка вы можете ответить на вопросы: &quot;что такое указатель?&quot; и &quot;чем отличается массив от списка?&quot; приветствуется: опыт создания визуальных и не визуальных компонентов опыт работы с реляционными субд знание uml и методологий разработки по любые знания из сферы it и computer science услови я: мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем git, uml. для создания приложения используем сторонние компоненты odac, devexpress, tms scripter, fast report, python, cef(chronium) и др. постоянно совершенствуем методологии разработки и повышаем свою эффективность. по договоренности &quot;гибкий график&quot; обширные возможности для профессионального роста впоследствии возможен переход в проект на java конкурентная заработная плата, премии. заработная плата определяется по результатам собеседования. оформление по тк, белая &quot;зп&quot;.",программистdelphi,Санкт-Петербург,55000.0,90000.0,Бизнес Технологии,2019-10-09T12:02:04+0300,between3And6,full,remote,
232,232,"разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. основные клиенты: нпф &quot;сбербанк&quot;, ск &quot;согласие&quot;, ск &quot;согласие-вита&quot;, ск &quot;альянс&quot; (бывшая росно), ск civ-life, ск вск; задачи разного уровня сложности, преимущественно связанные со страховым, налоговым и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем; разработка back решений;","комфортный офис в центре города, оборудованный кухней; оформление по трудовому кодексу; белая заработная плата; развитая социальная программа.","знание sql (oracle, ms sql server); опыт работы на любом языке разработки высокого уровня (delphi, с++, .net, java); желателен опыт разработки корпоративного программного обеспечения; умение работать с чужим кодом, грамотно его комментировать; высокая стрессоустойчивость и способность к высоким нагрузкам;","разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. основные клиенты: нпф &quot;сбербанк&quot;, ск &quot;согласие&quot;, ск &quot;согласие-вита&quot;, ск &quot;альянс&quot; (бывшая росно), ск civ-life, ск вск; задачи разного уровня сложности, преимущественно связанные со страховым, налоговым и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем; разработка back решений; знание sql (oracle, ms sql server); опыт работы на любом языке разработки высокого уровня (delphi, с++, .net, java); желателен опыт разработки корпоративного программного обеспечения; умение работать с чужим кодом, грамотно его комментировать; высокая стрессоустойчивость и способность к высоким нагрузкам; приветствуется: опыт работы с системами контроля версий (vss, mercurial и т.п.) опыт работы с баг-трекерами (redmine, jira и т.п.) знания в области интеграции различных систем, электронного обмена данными между приложениями опыт работы с программами по ведению бухгалтерской и финансовой отчетности для нас важны такие качества как: умение планировать время и оценивать свои силы на поставленные задачи; умение работать в команде ( в том числе удаленно); ответственность; нацеленность на результат; желание постоянно расти и развиваться, используя современные технологии. комфортный офис в центре города, оборудованный кухней; оформление по трудовому кодексу; белая заработная плата; развитая социальная программа.",программистdelphi,Санкт-Петербург,60000.0,120000.0,БиАйВи,2019-10-08T16:32:29+0300,between1And3,full,fullDay,Delphi|ORACLE|MS SQL|Diasoft
525,525,"разработка, сопровождение и реинжиниринг программного обеспечения компании.",,"минимальные навыки: понимание и практическое владение методологией объектно-ориентированного программирования. опыт разработки приложений баз данных знание delphi или с# знание ms sql server умение разбираться в чужом коде приветствуется: опыт работы в команде знание и опыт использования сом-технологии опыт использования devexpress, знакомство с installshield, fastreport опыт разработки многопоточных приложений опыт использования nunit знание .net","разработка, сопровождение и реинжиниринг программного обеспечения компании. минимальные навыки: понимание и практическое владение методологией объектно-ориентированного программирования. опыт разработки приложений баз данных знание delphi или с# знание ms sql server умение разбираться в чужом коде приветствуется: опыт работы в команде знание и опыт использования сом-технологии опыт использования devexpress, знакомство с installshield, fastreport опыт разработки многопоточных приложений опыт использования nunit знание .net мы предлагаем: дружный молодой коллектив. интересные и сложные задачи. отсутствие бюрократии. оформление по тк рф зарплата: оклад + бонус по итогам работы компании за квартал испытательный срок 3 мес.",программистdelphi,Санкт-Петербург,50000.0,,Компания Инфоcтрой,2019-09-24T21:41:33+0300,between1And3,full,fullDay,
