,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
980,980,,,,"stomodomo group - управляющая компания, которая занимается развитием: - сети собственных стоматологических клиник ренидент; - клиники цифровой стоматологии houston; - собственным it-продуктом - программным обеспечением для стоматологий - ident. мы относимся к клиентам и оказываем услуги так, как мы бы хотели, чтобы оказывали услуги нам, нашим родным и близким. поэтому мы ищем к себе в команду человека со схожими взглядами и ценностями. нам нужен - графический дизайнер. что делать: создавать индивидуальные планы лечения для пациентов стоматологий группы stomodomo; создавать дизайн-макеты рекламной и корпоративной продукции (билборды, визитки, плакаты); вносить изменения в готовые макеты; создавать креативные презентации; создавать макеты для соц.сетей; ретушь и цветокоррекция фото. что нужно: опыт работы дизайнером не менее 1 года; уверенное владение программами illustrator, photoshop; понимание современных тенденций в сфере дизайна и маркетинга; оперативность, внимательность, готовность к регулярным задачам; понимание различий в способах печати (офсет, цифровая, шелкография); наличие собственного портфолио. что предлагаем: график: 5/2 с 10.00 до 19.00; креативная молодая команда, которая всегда готова помочь; официальное трудоустройство с первого дня работы; участие в различных мероприятиях компании (изучение английского и испанского языков, пятничный футбол, корпоративные выезды и т.д); возможность развития в других отделах компании; уютный стильный офис с диванами, подушками, ps4 и бесперебойной кофемашиной на собственной кухне :) оплата: оклад 35.000-40 000 рублей по результатам собеседования. внимание! кандидаты без портфолио, а также рассматривающие частичную/удаленную занятость не рассматриваются! p.s. вакансия предполагает небольшое (правда-правда) тестовое задание :)",графическийдизайнер,Санкт-Петербург,35000.0,40000.0,Дентал Менеджмент Компани,2019-09-30T18:18:35+0300,between1And3,full,fullDay,Adobe Illustrator|Adobe Photoshop|Графический дизайн|Дизайн|Ретушь|Графические редакторы|Креативность|Подготовка презентаций|Web-дизайн|Графика|Макетирование|Полиграфический дизайн|Верстка|Пользователь ПК
976,976,,,,"в крупную ремонтную компанию требуется графический дизайнер на постоянную работу. требования: художественное образование развитое чувство художественного вкуса и стиля. умение работать с типографикой (знать все шрифты , какой и куда применим, дизайн шрифтов) вы должны уметь создавать уникальные изображения знать колористику, комбинаторику цветов знать на продвинутом уровне adobe illustrator, photoshop быть в курсе последних трендов дизайна постпечатная обработка (уметь на продвинутом уровне) владеть в совершенстве векторной графикой (в теории и практике), 95% времени вы будете работать с векторной графикой, а растровой 5% желательно уметь делать: сложные web баннеры (без анимации), иконки, флаера вы должны владеть теорией дизайна например: чем отличается материальный дизайн от плоского дизайна обязанности: разработка иллюстраций и макетов для сайта и типографии разработка иконок, комиксов, баннеры, дизайн листовок условия: график работы: 5/2 с 10-18:30, сб, вс - выходные. испытательный срок 3 месяца. на испытательном сроке оклад: 55000, далее по результатам. возможны премии. оформление официальное по тк рф. работа в офисе по адресу: ст.м парк победы, проспект юрия гагарина яркая корпоративная жизнь",графическийдизайнер,Санкт-Петербург,55000.0,,Ленремонт,2019-09-19T13:01:28+0300,between1And3,full,fullDay,художественное образование|Дизайн|Adobe Photoshop|Графический дизайн|Adobe Illustrator|Полиграфический дизайн|Креативность
211,211,,"интересная и активная работа в среде знатоков сферы телекоммуникаций возможность участия в интересных проектах и реализации профессионального опыта возможность обучения и совершенствования своих навыков достойная и своевременная оплата труда и возможность карьерного роста дмс для всех сотрудников компании; офисный врач стоматология по полису дмс на корпоративных условиях премии за выслугу лет в компании финансовая поддержка в значимых событиях kорпоративные праздники и подарки для сотрудников и их детей оборудованная комната для приема пищи возможность стать игроком нашей волейбольной или футбольная команды, а также быть активным болельщиком льготное изучение английского языка в офисе возможность участвовать в корпоративном волонтерском движении",,"хочешь работать и расти в компании- лидере в сфере телекоммуникаций? развивать и применять свои навыки, учиться и учить? скорее отправляйте нам резюме и не забудь прикрепить ссылку на свои работы, возможно именно ты станешь частью нашей команды! круг интересных задач : создание рекламных keyvisual техническая верстка макетов адаптация макетов, подготовка ресайзов развитие фирменного стиля компании разработка айдентики внутренних мероприятий цветокоррекция и подготовка макетов в печать и для web создание и адаптации видео-материалов работа на mac нам нужен сотрудник, который: имеет опыт работы в командах агентств или компаний от 3-х лет имеет знание программ: adobe creative suite: illustrator, photoshop, indesign, after effects владеет сinema 4d (будет преимуществом) имеет высшее профильное образование -графический дизайн (будет преимуществом) дополнительные требования к кандидату: знание и применение правил верстки навыки построения модульных сеток и опыт работы с ними чувство композиции, пространства, знание основ цветографики, насмотренность знание трендов в мировом/европейском дизайне, общая дизайнерская эрудиция умение работать с несколькими задачами в потоке, умение выстраивать приоритеты в текущих задачах интересная и активная работа в среде знатоков сферы телекоммуникаций возможность участия в интересных проектах и реализации профессионального опыта возможность обучения и совершенствования своих навыков достойная и своевременная оплата труда и возможность карьерного роста дмс для всех сотрудников компании; офисный врач стоматология по полису дмс на корпоративных условиях премии за выслугу лет в компании финансовая поддержка в значимых событиях kорпоративные праздники и подарки для сотрудников и их детей оборудованная комната для приема пищи возможность стать игроком нашей волейбольной или футбольная команды, а также быть активным болельщиком льготное изучение английского языка в офисе возможность участвовать в корпоративном волонтерском движении",графическийдизайнер,Санкт-Петербург,,,Триколор,2019-10-07T13:03:45+0300,between3And6,full,fullDay,
1012,1012,,,,"что мы делаем мы делаем мобильные приложения для ресторанов, чтобы они могли эффективно проводить акции, принимать онлайн-заказы и получать обратную связь от гостей. за 6 лет мы сделали приложения kfc, black star burger и ещё 630 приложений, которыми пользуются 10 миллионов человек из 13 стран мира. кто нам нужен: нам нужен графический дизайнер наш будущий дизайнер: знает основы композиции, типографики, верстки, умеет работать с цветом и формой работал в графических программах (adobe photoshop, illustrator, figma) умеет работать с google-презентациями читает хорошие книги и следит за тенденциями в дизайне какие будут задачи: разработка дизайна (брендирование) мобильных приложений для клиентов дизайн полиграфической продукции для клиентов — листовок, постеров с инструкцией по установке мобильного приложения дизайн маркетинговых материалов компании: верстка и дизайн презентаций, баннеров, стендов и т.д. создание демонстрационных прототипов мобильных приложений при помощи figma у нас много разных задач. можно развиваться как в области графического дизайна, так и в ux/ui в дальнейшем мы предлагаем: офис на петроградке, обучение английскому с лингвистом, бесплатные завтраки, обеды и ужины, креативную и целеустремленную команду, летом — походы и выезды на природу, путешествия на великах, зимой — поездки на гору на сноубордах и лыжах. как прийти к нам на чашку чая: приложи к отклику ссылку на портфолио и напиши, что ты сделал и чему научился в своём самом значимом проекте.",графическийдизайнер,Санкт-Петербург,,,LoyaltyPlant,2019-09-25T18:34:55+0300,between1And3,full,fullDay,
