,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
737,737,,,,"наш клиент interverbum technology находится в поиске frontend-разработчика (angular). interverbum technology - шведская компания, которая занимается разработкой сервиса, позволяющего компаниям со всего мира общаться между собой, используя единую бизнес терминологию. https://interverbumtech.com/ мы планируем разрабатывать много отличных фич и интеграций, так что впереди очень много интересного. большинство клиентов компании из списка fortune global 500. как frontend-разработчик вы должны знать: angular 8, typescript и сопутствующие технологии; web разработка (html, css, javascript, less, sass, npm, yarn, es5+, webpack, etc); тестирование (unit, mock objects, integration); иметь представление о работе rest api и аналогов; мы ожидаем, что у вас 2+ года опыта коммерческой разработки. чем придется заниматься: быть частью команды, использующей agile методики разработки; улучшать существующий код, искать новые решения и реализовывать новые функции; участвовать в постоянном диалоге по развитию системы. будет плюсом знание следующих технологий: хорошее понимание корпоративных стандартов при разработке веб-приложений; oauth, saml2, openapi или любая другая реализация sso; ux/ui навыки; базовые навыки администрирования linux, windows (вы должны уметь выложить свое spa приложение на хостинг); jquery and bootstrap для старых частей системы; системы сборки (bamboo, jenkins, teamcity и тп.); apache httpd or nginx. мы предлагаем: современный стек технологий; полностью официальную зарплату; офис на ст. м. петроградская; велопарковку и душ в офисном здании.",frontend разработчик (angular),Санкт-Петербург,140000.0,180000.0,Kelly,2019-09-25T11:45:56+0300,between1And3,full,fullDay,AngularJS|JavaScript|TypeScript|HTML|CSS
1252,1252,,,"опыт программирования от 1 года; знание технологий программирования javascript, html, сss (sass/scss, less); опыт работы с angular framework v4+; умение работать с системой контроля версий git.","группа компаний хост – федеральный системный интегратор и разработчик программного обеспечения. входит в топ-100 крупнейших it-компаний россии. наша команда ищет опытного frontend-разработчика для работы над масштабными социально-значимыми проектами. одним из таких проектов является платформа «медведь». это комплекс информационных систем для автоматизации работы органов управления здравоохранением и предоставления электронных услуг населению. задачи: разработка новых и развитие существующих веб-сервисов; переписать фронт-часть существующих систем (мы переходим на новый технологический стек). опыт программирования от 1 года; знание технологий программирования javascript, html, сss (sass/scss, less); опыт работы с angular framework v4+; умение работать с системой контроля версий git. мы предлагаем: возможность удаленной работы, гибкие начало и окончание рабочего дня; полноценную проектную команду: менеджер проектов, аналитик, разработчики, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (дмс, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций.",frontend разработчик (angular),Тюмень,60000.0,,"ХОСТ, Группа компаний",2019-09-20T08:05:22+0300,between1And3,full,fullDay,JavaScript|HTML|CSS|Git|AngularJS|Less|Sass
937,937,,,,"ищем frontend разработчика в команду разработки направления образование компании нетрика. это направление разрабатывает веб и интеграционные решения, предназначенные для автоматизации процессов, происходящих в сфере образования, а именно: государственные услуги в сфере образования (запись в школу, запись в детский сад и др), электронный дневник, предоставление информации о результатах сданных экзаменов и многое другое. мы создаем информационные системы регионального и федерального уровня, охватывающие все категории участников образовательного процесса, от родителей до специалистов ведомств и комитетов. и являемся одним из лидеров в разработке подобных решений в нашей стране. что мы ждем от соискателя: знание и, главное, понимание принципов работы typescript/javascript. желание и умение разбираться в технологиях, паттернах и способах разработки. незашоренность и готовность в диалоге находить оптимальный подход, даже если он не совпадает с общепринятым. умение работать с git. умение систематизировать процесс разработки, оценивать затраты времени и прогнозировать возможные трудности. понимание, что такое swagger-контракты, зачем они нужны и как ими пользоваться. будет плюсом опыт переезда с angularjs/angular 5 на angular 7 и внедрение ngrx/storage. чем предстоит заниматься: разрабатывать клиентскую часть с использованием фреймворка angular 5-7; использовать возможности nrwl/nx и других надстроек над angular cli для одновременной работы над созданием и дистрибуцией библиотек и конечных продуктов; для взаимодействия с сервером использовать api, описанное swagger-контрактами. у нас: официальное трудоустройство (белая заработная плата и все соц.гарантии); можно подобрать удобный график (9-18, 10-19, 11-20); возможность порой поработать удаленно (при необходимости); дмс после испытательного срока (не более 3 мес); есть три кухни для тех, кто любит обедать в офисе (микроволновка, холодильник, посуда, кофемашина, молоко, фрукты, угощения к завтраку); кто не любит - вокруг масса кафе на любой вкус и цвет (коллеги знают, где вкуснее); удобное расположения офиса в центре города (15 мин. пешком от ст.м. &quot;чернышевская&quot;/&quot;площадь восстания&quot;).",frontend разработчик (angular),Санкт-Петербург,,,NETRIKA,2019-09-19T14:50:46+0300,between1And3,full,fullDay,JavaScript|REST|JS
945,945,,,,"мы российская компания, специализирующаяся на разработке высокопроизводительных программных решений и информационных систем федерального уровня, реализующая передовые идеи с помощью новейших подходов и технологий. мы расширяем, направление по развитию front-end решений, в том числе системы личных кабинетов, крупной (федерального масштаба) высоконагруженной (более 300 тыс. подключенных участников) информационной системы. мы используем современные подходы к разработке на основе typescript, javascript, angular. мы используем гибкие методологии и devops для создания инфраструктуры и постоянно обновляем технологический стек (gradle, gitlab, jenkins, nexus, docker, kubernetes ). вы будете работать в команде единомышленников, мотивированных на результат. ежедневная работа будет включать разработку новых и поддержку существующих модулей; командную работу (предлагать свои идеи, аргументировать свою позицию, слушать и понимать коллег, договариваться) с требованиями заказчика и поиск красивых решений не тривиальных задач; участие в проектировании архитектуры front-end решений мы ожидаем: опыт работы с angular2+ (material design), typescript, javascript, html, css в коммерческих проектах, доведенных до production; понимание архитектуры frontend приложений. знание шаблонов проектирования, принципов и парадигм ооп; навыки дизайна пользовательских интерфейсов (ui/ux); опыт использования системы контроля версий git; опыт работы в команде с использованием гибких методологий (scrum, kanban). вы получаете: интересную работу с возможностью профессионального роста в стабильной российской компании (крупный системный интегратор в области информатизации и защиты информации) с ит-проектами федерально масштаба; дружный коллектив квалифицированных сотрудников; удобное расположение офиса: ст. м. нагатинская - 7 минут пешком; ст. м. верхние котлы - 5 минут пешком, пл. нижние котлы - 10 минут пешком; официальную заработную плату, оформление по тк рф с первого рабочего дня.",frontend разработчик (angular),Санкт-Петербург,,,Московский филиал АО ЦентрИнформ,2019-09-20T11:24:13+0300,between1And3,full,fullDay,
