,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
166,166,"выполнение выездов к клиентам (санкт-петербург) и ленинградской области. для проведения установок демонтажа оборудования доставка расходников проведение регламентных работ ,сервисное обслуживание диагностика, выявление неисправности оборудования, настройка оборудования","оформление по тк ( после испытательного срока ) обучение работе с оборудованием, складом доход формируется из количество выездов ,сколько было сделано офис в центре санкт-петербурга метро балтийская фрунзенская технологический институт , удобный для въезда/выезда на личном автомобиле, легко найти место для парковки гибкий график","аккуратность самостоятельное решение поставленных задач легкая обучаемость техническое образование будет преимуществом коммуникабельность пунктуальность оформление по тк ( после испытательного срока ) обучение работе с оборудованием, складом доход формируется из количество выездов ,сколько было сделано офис в центре санкт-петербурга метро балтийская фрунзенская технологический институт , удобный для въезда/выезда на личном автомобиле, легко найти место для парковки гибкий график","группа компаний aromagroup является российским производителем и дистрибьютором оборудования ароматизации и ароматов для бизнеса. работаем с бизнесом в 80 городах россии более 12 лет. посредством специальных ароматов мы помогаем нашим бизнес-клиентам создавать приятную незабываемую атмосферу в точках продаж их товаров и услуг (например, аромат свежесваренного кофе, выпечки, хлеба или парфюмерные композиции), покупатели остаются дольше, приходят чаще, платят больше. тем самым мы повышаем клиентам прибыль, делаем их бизнес ярче, ароматнее, конкурентнее. основные клиенты: кафе, рестораны, гостиницы, автосалоны, азс, магазины одежды, аксессуаров, салоны красоты , магазины продуктов требуется инженер-монтажник выполнение выездов к клиентам (санкт-петербург) и ленинградской области. для проведения установок демонтажа оборудования доставка расходников проведение регламентных работ ,сервисное обслуживание диагностика, выявление неисправности оборудования, настройка оборудования аккуратность самостоятельное решение поставленных задач легкая обучаемость техническое образование будет преимуществом коммуникабельность пунктуальность оформление по тк ( после испытательного срока ) обучение работе с оборудованием, складом доход формируется из количество выездов ,сколько было сделано офис в центре санкт-петербурга метро балтийская фрунзенская технологический институт , удобный для въезда/выезда на личном автомобиле, легко найти место для парковки гибкий график",сервисныйинженер,Санкт-Петербург,25000.0,40000.0,Арома Групп,2019-09-13T09:55:38+0300,between1And3,full,fullDay,Грамотная речь|Пользователь ПК|Исполнительность
1292,1292,осуществление монтажных работ по подключению клиента; настройка программного обеспечения пк; отчёт о произведенном подключении бригадиру службы подключения.,работа в динамично развивающейся компании; обучение за счет компании; оформление согласно трудовому законодательству (социальный пакет); разъездной характер работы; возможность профессионального и карьерного роста; молодой и дружный коллектив.,"опыт работы по монтажу коммуникаций; навыки работы с инструментом; знание пк; быстрая обучаемость, ответственность, пунктуальность, внимательность. работа в динамично развивающейся компании; обучение за счет компании; оформление согласно трудовому законодательству (социальный пакет); разъездной характер работы; возможность профессионального и карьерного роста; молодой и дружный коллектив.","осуществление монтажных работ по подключению клиента; настройка программного обеспечения пк; отчёт о произведенном подключении бригадиру службы подключения. опыт работы по монтажу коммуникаций; навыки работы с инструментом; знание пк; быстрая обучаемость, ответственность, пунктуальность, внимательность. работа в динамично развивающейся компании; обучение за счет компании; оформление согласно трудовому законодательству (социальный пакет); разъездной характер работы; возможность профессионального и карьерного роста; молодой и дружный коллектив.",сервисныйинженер,Тюмень,40000.0,40000.0,ЭР-Телеком,2019-10-10T15:17:55+0300,noExperience,full,fullDay,
587,587,"прием/выдача оборудования в/из ремонт/а диагностика и ремонт оборудования, составления актов ремонта сборка и комплектация оборудования разборка оборудования для утилизации (маркировка, подготовка к утилизации) тестирование и работа с оборудованием – заряд акб, тестирование ибп выполнение сервисного обслуживания оборудования на объектах диагностика оборудования пусконаладочные работы плановые, аварийные такелаж, монтаж/демонтаж оборудования, шеф-монтажные работы",территориально ст.м. выборгская; официальное оформление в соответствии с тк рф; испытательный срок 3 месяца; ненормированный рабочий день; комфортные условия труда: оборудованное рабочее место; премии по результатам работы; на собеседовании соискателям необходимо будет пройти технические тесты.,"образование - высшее (техническое) опыт работы по пуско-наладке оборудования, ремонту и обслуживанию (электродвигатели, компрессоры, силовая электроника, ибп) опыт общения с заказчиками владение компьютерными программами: офис, интернет- браузеры. дополнительные требования, ключевые компетенции: приветствуется наличие личных сертификатов о прохождении обучения в иностранных компаниях или у производителей оборудования. преимущество – знания источников бесперебойного питания, дизель-генераторных установок территориально ст.м. выборгская; официальное оформление в соответствии с тк рф; испытательный срок 3 месяца; ненормированный рабочий день; комфортные условия труда: оборудованное рабочее место; премии по результатам работы; на собеседовании соискателям необходимо будет пройти технические тесты.","прием/выдача оборудования в/из ремонт/а диагностика и ремонт оборудования, составления актов ремонта сборка и комплектация оборудования разборка оборудования для утилизации (маркировка, подготовка к утилизации) тестирование и работа с оборудованием – заряд акб, тестирование ибп выполнение сервисного обслуживания оборудования на объектах диагностика оборудования пусконаладочные работы плановые, аварийные такелаж, монтаж/демонтаж оборудования, шеф-монтажные работы образование - высшее (техническое) опыт работы по пуско-наладке оборудования, ремонту и обслуживанию (электродвигатели, компрессоры, силовая электроника, ибп) опыт общения с заказчиками владение компьютерными программами: офис, интернет- браузеры. дополнительные требования, ключевые компетенции: приветствуется наличие личных сертификатов о прохождении обучения в иностранных компаниях или у производителей оборудования. преимущество – знания источников бесперебойного питания, дизель-генераторных установок территориально ст.м. выборгская; официальное оформление в соответствии с тк рф; испытательный срок 3 месяца; ненормированный рабочий день; комфортные условия труда: оборудованное рабочее место; премии по результатам работы; на собеседовании соискателям необходимо будет пройти технические тесты.",сервисныйинженер,Санкт-Петербург,45000.0,,БАЗИС,2019-10-06T15:14:14+0300,between1And3,full,fullDay,
1329,1329,"проведение сервисного обслуживания оборудования (газопоршневых генераторных установок) cat, mwm, mtu, cummins, rols- rolls ; диагностика и анализ причины возникновения неисправности в соответствии с техническими регламентами; ремонт оборудования в случае выхода его из строя.","место работы: челябинская область, оренбургская область, свердловская область; заработная плата от 65 000 руб. в месяц; график работы: вахта 30/30; официальное трудоустройство в рамках тк рф, заработная плата + премия, полный социальный пакет; проезд до места работы и обратно за счет компании; размещение в комфортабельных общежитиях/ квартирах; предоставляется спецодежда; трудоустройство по результатам собеседования.","высшее профессиональное (техническое) и стаж работы не менее 3-х лет или среднее профессиональное (техническое) образование и стаж работы не менее 3-х лет на аналогичной должности; знание оборудования газопоршневых генераторных установок; приветствуются рекомендации с предыдущего места работы место работы: челябинская область, оренбургская область, свердловская область; заработная плата от 65 000 руб. в месяц; график работы: вахта 30/30; официальное трудоустройство в рамках тк рф, заработная плата + премия, полный социальный пакет; проезд до места работы и обратно за счет компании; размещение в комфортабельных общежитиях/ квартирах; предоставляется спецодежда; трудоустройство по результатам собеседования.","проведение сервисного обслуживания оборудования (газопоршневых генераторных установок) cat, mwm, mtu, cummins, rols- rolls ; диагностика и анализ причины возникновения неисправности в соответствии с техническими регламентами; ремонт оборудования в случае выхода его из строя. высшее профессиональное (техническое) и стаж работы не менее 3-х лет или среднее профессиональное (техническое) образование и стаж работы не менее 3-х лет на аналогичной должности; знание оборудования газопоршневых генераторных установок; приветствуются рекомендации с предыдущего места работы место работы: челябинская область, оренбургская область, свердловская область; заработная плата от 65 000 руб. в месяц; график работы: вахта 30/30; официальное трудоустройство в рамках тк рф, заработная плата + премия, полный социальный пакет; проезд до места работы и обратно за счет компании; размещение в комфортабельных общежитиях/ квартирах; предоставляется спецодежда; трудоустройство по результатам собеседования.",сервисныйинженер,Тюмень,65000.0,,ROLT POWER SYSTEMS,2019-10-09T14:23:03+0300,between3And6,full,flyInFlyOut,Деловая коммуникация|Деловая переписка|MS Outlook|Грамотная речь|Деловое общение|Пользователь ПК|Работа с большим объемом информации|Работа с оргтехникой|MS Excel
1032,1032,диагностика неисправностей оборудования на объектах (микропроцессорное оборудование и системы связи); замена неисправного оборудования и программного обеспечения; взаимодействие с заказчиком; наладка работы оборудования на объектах.,"тип работы: постоянная занятость на территории работодателя официальное трудоустройство по тк рф график работы: 5/2 с 8:30 до 17:00 достойная заработная плата по результатам собеседования (просим указывать ваши зарплатные ожидания в резюме или сопроводительном письме) комфортное рабочее место и дружный коллектив корпоративный зерновой кофе, чай, сладости.","образование высшее\среднее специальное чтение технической документации (схем электрических принципиальных и соединений); базовые навыки монтажа и пайки уверенный пользователь пк, навыки загрузки программного обеспечения. опыт работы с микропроцессорной техникой будет серьезным преимуществом. тип работы: постоянная занятость на территории работодателя официальное трудоустройство по тк рф график работы: 5/2 с 8:30 до 17:00 достойная заработная плата по результатам собеседования (просим указывать ваши зарплатные ожидания в резюме или сопроводительном письме) комфортное рабочее место и дружный коллектив корпоративный зерновой кофе, чай, сладости.","диагностика неисправностей оборудования на объектах (микропроцессорное оборудование и системы связи); замена неисправного оборудования и программного обеспечения; взаимодействие с заказчиком; наладка работы оборудования на объектах. образование высшее\среднее специальное чтение технической документации (схем электрических принципиальных и соединений); базовые навыки монтажа и пайки уверенный пользователь пк, навыки загрузки программного обеспечения. опыт работы с микропроцессорной техникой будет серьезным преимуществом. тип работы: постоянная занятость на территории работодателя официальное трудоустройство по тк рф график работы: 5/2 с 8:30 до 17:00 достойная заработная плата по результатам собеседования (просим указывать ваши зарплатные ожидания в резюме или сопроводительном письме) комфортное рабочее место и дружный коллектив корпоративный зерновой кофе, чай, сладости.",сервисныйинженер,Санкт-Петербург,,,Импульс-Автоматика,2019-10-09T14:23:25+0300,between1And3,full,fullDay,
