,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1231,1231,,,,"тензор – крупная российская it-компания. наш основной продукт – сбис – сеть деловых коммуникаций. сбис объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. сбис придумали, создали и постоянно совершенствуют более 1000 разработчиков в 11 филиалах по стране. мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшна”. присоединившись к нашей команде, у вас будет возможность усовершенствовать систему сбис. результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. в наш филиал в тюмени мы ищем разработчика c++. мы ждем от вас: высшее техническое образование; хорошее знание с++, sql; умение разбираться в чужом коде; знание основ объектно-ориентированного программирования; нацеленность на достижение результата. будет плюсом: опыт работы с системами контроля версий (git, svn); знакомство с ios и android; умение работать в режиме многозадачности. мы предлагаем: оформление по тк рф и белую заработную плату; молодой, дружный коллектив; премии от 5 до 20% по итогам работы за месяц; дмс после года работы в компании; активную корпоративную жизнь и компенсацию занятий спортом.",программист с++,Тюмень,69000.0,109000.0,Тензор,2019-09-17T16:37:28+0300,between1And3,full,fullDay,C++
129,129,,"соблюдение всех социальных гарантий, &quot;белая&quot; зарплата. ежеквартальные премии в размере оклада по результатам работы. уровень дохода обсуждается индивидуально. интересные, сложные задачи, возможность постоянного профессионального развития. удобный график, замечательный коллектив, демократичное руководство. комфортный офис у метро василеостровская","мы используем методологию agile, поэтому для нас важно, чтобы наш новый коллега был открыт для обмена мнениями, активен и конструктивен. также мы бы хотели видеть: высшее профильное образование, опыт программирования на с++, ооп, design patterns, qt или directx это не обязательно, но в качестве дополнительных плюсов может быть - знакомство с tdd, unit-testing, automated regression testing, continuous integration, знание технологии com, а также опыт использования pair programming, code review. соблюдение всех социальных гарантий, &quot;белая&quot; зарплата. ежеквартальные премии в размере оклада по результатам работы. уровень дохода обсуждается индивидуально. интересные, сложные задачи, возможность постоянного профессионального развития. удобный график, замечательный коллектив, демократичное руководство. комфортный офис у метро василеостровская","в связи с активным развитием нового проекта команда разработчиков компании renga software приглашает кандидатов на позицию программист с++. задачи: разработка бизнес-логики приложения, графического движка, gui. участие в создании архитектуры подсистем приложения. мы используем методологию agile, поэтому для нас важно, чтобы наш новый коллега был открыт для обмена мнениями, активен и конструктивен. также мы бы хотели видеть: высшее профильное образование, опыт программирования на с++, ооп, design patterns, qt или directx это не обязательно, но в качестве дополнительных плюсов может быть - знакомство с tdd, unit-testing, automated regression testing, continuous integration, знание технологии com, а также опыт использования pair programming, code review. соблюдение всех социальных гарантий, &quot;белая&quot; зарплата. ежеквартальные премии в размере оклада по результатам работы. уровень дохода обсуждается индивидуально. интересные, сложные задачи, возможность постоянного профессионального развития. удобный график, замечательный коллектив, демократичное руководство. комфортный офис у метро василеостровская",программист с++,Санкт-Петербург,,,Renga Software,2019-10-08T17:33:04+0300,between3And6,full,fullDay,
415,415,"- разработка и поддержка системного по, тесно интегрированного с ос windows (авторизация, работа с файловой системой, системным реестром, устройствами и пр.); - улучшение масштабируемости механизмов централизованного и удаленного управления разработанного по; - помощь специалистам технической поддержки в решении сложных задач.","- стабильность, дружный коллектив, хорошие условия труда; - своевременная и достойная оплата, оформление по тк рф (социальный пакет: оплачиваемый отпуск, больничный, дмс); - график работы: пятидневка с 9.00 до 18.00 (может быть гибким), 10 минут пешком от м.елизаровская; - заработная плата (оклад + премии) - по результатам собеседования.",,"группа компаний «конфидент» - одна из первых негосударственных организаций в россии, предложивших российскому рынку услуги в области защиты информации. за 26 лет существования в группе компаний «конфидент» сформировалось несколько направлений деятельности: оказание различных видов консультационных услуг в области безопасности, разработка сертифицированных систем защиты информации, создание комплексных систем информационной безопасности, противодействие экономическому шпионажу, а также аттестация объектов информатизации. - разработка и поддержка системного по, тесно интегрированного с ос windows (авторизация, работа с файловой системой, системным реестром, устройствами и пр.); - улучшение масштабируемости механизмов централизованного и удаленного управления разработанного по; - помощь специалистам технической поддержки в решении сложных задач. обязательно: - уверенное знание языка программирования c++; - опыт работы c ms visual studio; - знание win32api, mfc; - опыт многопоточного программирования. желательно: - стандарт c++11, c++14, с++17; - знание шаблонов проектирования; - знание низкоуровневой архитектуры windows, программирования драйверов ос; - опыт разработки распределённых приложений; - знание сетевых протоколов; - знание основных принципов шифрования информации (симметричные/асимметричные алгоритмы); - wdk. - стабильность, дружный коллектив, хорошие условия труда; - своевременная и достойная оплата, оформление по тк рф (социальный пакет: оплачиваемый отпуск, больничный, дмс); - график работы: пятидневка с 9.00 до 18.00 (может быть гибким), 10 минут пешком от м.елизаровская; - заработная плата (оклад + премии) - по результатам собеседования.",программист с++,Санкт-Петербург,,,Конфидент,2019-10-10T11:51:03+0300,between1And3,full,fullDay,
