,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
962,962,подготовка рабочих мест сотрудников; установка и настройка программного обеспечения; решение проблемы с различным офисным оборудованием; поддержка работы проводной и беспроводной сети; информационная поддержка пользователей в том числе удаленных;,офис м. василеостровская; оформление согласно тк рф работа в динамично развивающейся компании;,хорошее знание ос windows и офисных пакетов; готовность и желание работать с macos/linux/unix; базовые знания о железе и по представление о работе сетевого стека; базовые знания по стеку протоколов tcp/ip и модели osi; умение самостоятельно решать проблемы. офис м. василеостровская; оформление согласно тк рф работа в динамично развивающейся компании;,подготовка рабочих мест сотрудников; установка и настройка программного обеспечения; решение проблемы с различным офисным оборудованием; поддержка работы проводной и беспроводной сети; информационная поддержка пользователей в том числе удаленных; хорошее знание ос windows и офисных пакетов; готовность и желание работать с macos/linux/unix; базовые знания о железе и по представление о работе сетевого стека; базовые знания по стеку протоколов tcp/ip и модели osi; умение самостоятельно решать проблемы. офис м. василеостровская; оформление согласно тк рф работа в динамично развивающейся компании;,помощник системного администратора,Санкт-Петербург,30000.0,30000.0,ИнфоСервис,2019-10-07T20:02:23+0300,between1And3,full,fullDay,
1043,1043,"консультация и техническая поддержка пользователей; установка и настройка программного обеспечения и операционных систем; поддержка в рабочем состоянии локальной сети, компьютеров и оргтехники;",работа в стабильной иностранной компании график работы с 9 до 18 дмс,"образование не ниже среднего профессионального; знание и опыт настройки oc windows 7/8/10, сетевого оборудования, оргтехники поддержка в рабочем состоянии локальной сети, компьютеров и оргтехники; работа в стабильной иностранной компании график работы с 9 до 18 дмс","консультация и техническая поддержка пользователей; установка и настройка программного обеспечения и операционных систем; поддержка в рабочем состоянии локальной сети, компьютеров и оргтехники; образование не ниже среднего профессионального; знание и опыт настройки oc windows 7/8/10, сетевого оборудования, оргтехники поддержка в рабочем состоянии локальной сети, компьютеров и оргтехники; работа в стабильной иностранной компании график работы с 9 до 18 дмс",помощник системного администратора,Санкт-Петербург,30000.0,35000.0,Каверион Элмек,2019-09-17T16:43:26+0300,between1And3,full,fullDay,Настройка сетевых подключений|Настройка ПК|Windows 7|Настройка ПО|Администрирование сетевого оборудования
833,833,"подготовка персональных компьютеров перед отправкой к заказчику: развертывание, проверка работоспособности опись аппаратной части маркировка демонтаж и упаковка. базовое тестирование периферии (мониторы, ибп, принтеры и т.п.): распаковка, проверка работоспособности опись серийный номеров маркировка упаковка. монтаж компьютерного оборудования и периферии в напольные информационные киоски.",!!! временный проект!!!!,"знание линейки oc windows 7- windows 10 на уровне не ниже опытного пользователя; базовые знания аппаратной части пк и периферии; ответственность, высокий кпд. будет преимуществом опыт работы с по acronis true image/ghost знание сетевых технологий (tcp/ip, сетевое оборудование) !!! временный проект!!!!","подготовка персональных компьютеров перед отправкой к заказчику: развертывание, проверка работоспособности опись аппаратной части маркировка демонтаж и упаковка. базовое тестирование периферии (мониторы, ибп, принтеры и т.п.): распаковка, проверка работоспособности опись серийный номеров маркировка упаковка. монтаж компьютерного оборудования и периферии в напольные информационные киоски. знание линейки oc windows 7- windows 10 на уровне не ниже опытного пользователя; базовые знания аппаратной части пк и периферии; ответственность, высокий кпд. будет преимуществом опыт работы с по acronis true image/ghost знание сетевых технологий (tcp/ip, сетевое оборудование) !!! временный проект!!!!",помощник системного администратора,Санкт-Петербург,,40000.0,"Системные технологии, НПП",2019-10-09T17:39:47+0300,noExperience,project,fullDay,Windows 7|Работа в команде|Пользователь ПК
296,296,"установка и настройка программного обеспечения и операционных систем; сборка и конфигурация компьютеров осуществление технической и программной поддержки пользователей, консультация пользователей по вопросам работы локальной сети и программ. помощь в открытии новых и поддержание действующих объектов сети",,"опыт работы приветствуется; хорошее знание компьютерного железа; знание основ сетевых технологий и архитектуры современных компьютеров; будет преимуществом - навыки работы с оборудованием (прокладка и монтаж скс, сборка/ремонт пк, диагностика и обслуживание оргтехники); умение общаться с пользователями;","добро пожаловать в семейные парки активного отдыха joki joya!! мы активно растём и развиваемся. наше развитие подразумевает постоянное улучшение качества парков и оттачивание концепции, уже доказавшей свою успешность. на сегодняшний день joki joya - самая масштабная сеть парков активного отдыха в россии. и это только начало! на данный момент открыто 20 парков в спб и москве, и это только начало! в наш дружный и сплочённый коллектив единомышленников требуется сотрудник на позицию помощник системного администратора установка и настройка программного обеспечения и операционных систем; сборка и конфигурация компьютеров осуществление технической и программной поддержки пользователей, консультация пользователей по вопросам работы локальной сети и программ. помощь в открытии новых и поддержание действующих объектов сети опыт работы приветствуется; хорошее знание компьютерного железа; знание основ сетевых технологий и архитектуры современных компьютеров; будет преимуществом - навыки работы с оборудованием (прокладка и монтаж скс, сборка/ремонт пк, диагностика и обслуживание оргтехники); умение общаться с пользователями; мы предлагаем: интересную работу в стабильной и развивающейся компании; заработная плата - 30000 руб/мес (на период испытательного срока - 25000 руб) график 5/2 с 9.30 до 18:30, преимущественно - офис, но с выездами на объекты (по необходимости) стабильные выплаты 2 раза в месяц; официальное оформление по тк рф.",помощник системного администратора,Санкт-Петербург,30000.0,,JokiJoya,2019-09-24T18:04:31+0300,noExperience,full,fullDay,
