,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1323,1323,"верстка сайтов, landing page, интернет магазинов, взаимодействие по макету с дизайнером; верстка интерфейсов, модулей внутренних систем; разработка / модернизация js / vue / jquery скриптов; оптимизация верстки.","пятидневная рабочая неделя с 08:30 до 17:30 официальное трудоустройство центр, район дома печати молодой, активный коллектив возможность совершенствовать навыки и развиваться отличный офис в тихом месте, нет проблем с парковкой, кафе на территории, чай-кофе-печеньки в офисе","отличное знание html5 / css3; уверенное знание js / jquery / vue; знание одного из ui фреймворков: vuetify, elementio, iview; кроссбраузерная и адаптивная мобильная верстка; опыт работы с git; четкое понимание юзабилити интерфейса; умение разбираться в чужом коде; умение выполнять задачу в заданный срок; ответственность, умение работать самостоятельно и относиться к задаче внимательно; знание основ ооп; знание основ php; понимание как работает бэкенд. пятидневная рабочая неделя с 08:30 до 17:30 официальное трудоустройство центр, район дома печати молодой, активный коллектив возможность совершенствовать навыки и развиваться отличный офис в тихом месте, нет проблем с парковкой, кафе на территории, чай-кофе-печеньки в офисе","верстка сайтов, landing page, интернет магазинов, взаимодействие по макету с дизайнером; верстка интерфейсов, модулей внутренних систем; разработка / модернизация js / vue / jquery скриптов; оптимизация верстки. отличное знание html5 / css3; уверенное знание js / jquery / vue; знание одного из ui фреймворков: vuetify, elementio, iview; кроссбраузерная и адаптивная мобильная верстка; опыт работы с git; четкое понимание юзабилити интерфейса; умение разбираться в чужом коде; умение выполнять задачу в заданный срок; ответственность, умение работать самостоятельно и относиться к задаче внимательно; знание основ ооп; знание основ php; понимание как работает бэкенд. пятидневная рабочая неделя с 08:30 до 17:30 официальное трудоустройство центр, район дома печати молодой, активный коллектив возможность совершенствовать навыки и развиваться отличный офис в тихом месте, нет проблем с парковкой, кафе на территории, чай-кофе-печеньки в офисе кандидатуры freelance не рассматриваем! вместе с резюме отправьте ссылки на выполненные вами работы для оценки верстки и клиентского кода",frontend разработчик,Тюмень,30000.0,50000.0,АЙТИ АРХИТЕКТОР,2019-10-08T18:03:43+0300,between1And3,full,fullDay,Веб-программирование|HTML5|jQuery|CSS3|Ajax|Git|JavaScript|Кроссбраузерная верстка|Валидная верстка|Sass|JSON API|VUE
634,634,"участие в создании проектов компании (стек: vue, php, bitrix); поддержка текущих проектов с использованием основных технологий; разработка ui совместно с дизайнером;","график 5/2. 8 часов. с секундомером не стоим. главное - результат; офис в 5-ти минутах ходьбы от м.черная речка; молодая и очень дружная команда в компании лидера в своей отрасли, входящей в top3 e-commerce санкт-петербурга. в резюме или сопроводительном письме просим прикрепить ссылки на примеры верстки.","хорошее знания стандартного стэка html5/css3/js/jquery/bootstrap; обязательно желание учиться новому и развиваться; очень желателен опыт работы с vue/vuex; знание git, умение работать с ветками, командная работа; график 5/2. 8 часов. с секундомером не стоим. главное - результат; офис в 5-ти минутах ходьбы от м.черная речка; молодая и очень дружная команда в компании лидера в своей отрасли, входящей в top3 e-commerce санкт-петербурга. в резюме или сопроводительном письме просим прикрепить ссылки на примеры верстки.","участие в создании проектов компании (стек: vue, php, bitrix); поддержка текущих проектов с использованием основных технологий; разработка ui совместно с дизайнером; хорошее знания стандартного стэка html5/css3/js/jquery/bootstrap; обязательно желание учиться новому и развиваться; очень желателен опыт работы с vue/vuex; знание git, умение работать с ветками, командная работа; график 5/2. 8 часов. с секундомером не стоим. главное - результат; офис в 5-ти минутах ходьбы от м.черная речка; молодая и очень дружная команда в компании лидера в своей отрасли, входящей в top3 e-commerce санкт-петербурга. в резюме или сопроводительном письме просим прикрепить ссылки на примеры верстки.",frontend разработчик,Санкт-Петербург,60000.0,80000.0,Фотосклад.ру,2019-10-10T13:33:18+0300,between1And3,full,fullDay,JavaScript|CSS3|CSS|jQuery|HTML|Git|Vue
93,93,"участие в проектировании и моделирование разрабатываемых модулей и приложений. решение вопросов ui и ux. разработка spa приложений. чтение, понимание и анализ кода уже существующих модулей и приложений. оптимизация, поддержка и рефакторинг существующих модулей и приложений. кросс-браузерная оптимизация, оптимизация скорости загрузки страниц и интерактивных элементов. взаимодействие и совместная разработка с командой frontend разработчиков. взаимодействие с backend разработчиками.",работа в молодом дружном коллективе; официальное трудоустройство согласно тк рф; заработная плата в зависимости от квалификации (после испытательного от 50 000 руб.); регулярные бонусы; широкие возможности для повышения личного мастерства и профессионального роста; испытательный срок: 2-3 месяца; по окончании испытательного срока дмс; оплата культурных/спортивных коллективных мероприятий.,"опыт работы с javascript с использованием es-2015+. практические навыки css и html. знание современных технологий верстки (flex, grid css). знание инструментов frontend разработки - автоматизация, сборщики, препроцессоры, системы тестирования. навыки работы с системой контроля версий (git). владение одним из современных javascript фреймворков (vue, react, angular). опыт работы с webpack или gulp. знания сетевых технологий понимание работы клиент-серверных приложений и web-приложений в частности умение оценивать объемы и трудозатраты проектов, задач контроль и соблюдение поставленных сроков выполнения задач умение работать в команде и вести коллективную разработку работа в молодом дружном коллективе; официальное трудоустройство согласно тк рф; заработная плата в зависимости от квалификации (после испытательного от 50 000 руб.); регулярные бонусы; широкие возможности для повышения личного мастерства и профессионального роста; испытательный срок: 2-3 месяца; по окончании испытательного срока дмс; оплата культурных/спортивных коллективных мероприятий.","участие в проектировании и моделирование разрабатываемых модулей и приложений. решение вопросов ui и ux. разработка spa приложений. чтение, понимание и анализ кода уже существующих модулей и приложений. оптимизация, поддержка и рефакторинг существующих модулей и приложений. кросс-браузерная оптимизация, оптимизация скорости загрузки страниц и интерактивных элементов. взаимодействие и совместная разработка с командой frontend разработчиков. взаимодействие с backend разработчиками. опыт работы с javascript с использованием es-2015+. практические навыки css и html. знание современных технологий верстки (flex, grid css). знание инструментов frontend разработки - автоматизация, сборщики, препроцессоры, системы тестирования. навыки работы с системой контроля версий (git). владение одним из современных javascript фреймворков (vue, react, angular). опыт работы с webpack или gulp. знания сетевых технологий понимание работы клиент-серверных приложений и web-приложений в частности умение оценивать объемы и трудозатраты проектов, задач контроль и соблюдение поставленных сроков выполнения задач умение работать в команде и вести коллективную разработку работа в молодом дружном коллективе; официальное трудоустройство согласно тк рф; заработная плата в зависимости от квалификации (после испытательного от 50 000 руб.); регулярные бонусы; широкие возможности для повышения личного мастерства и профессионального роста; испытательный срок: 2-3 месяца; по окончании испытательного срока дмс; оплата культурных/спортивных коллективных мероприятий.",frontend разработчик,Санкт-Петербург,50000.0,,ВитаСофт,2019-10-02T15:46:44+0300,between1And3,full,fullDay,
1315,1315,"участие в развитии ведомственной информационной системы, внедренной более чем в 10 регионах рф, создание нового функционала, доработка существующего, рефакторинг, участие в code-review","офис в центре города работа в проекте для госсектора с присутствием в более чем 10 субъектах рф свободная атмосфера, молодой дружелюбный коллектив гибкие методологии управления проектами возможность внести свой вклад в развитие продукта руководство, открытое к диалогу, новым идеям и предложениям постоянное обучение, посещение отраслевых мероприятий возможность публикации научных работ и поездок на профильные конференции","опыт использования javascript, понимание сборочного процесса и ограничений, им накладываемых; уверенное знание ext js и/или react или готовность пересесть на эти фреймворки; что мы имеем в виду под уверенным знанием react: опыт использования в проектах (а т.ч. pet project’ах), умение работать с npm, понимание, когда нужны webpack и babel, а еще важнее – понимание, когда они не нужны; что мы имеем в виду под уверенным знанием ext js: опыт использования в проектах (а т.ч. pet project’ах), будет плюсом опыт использования ant офис в центре города работа в проекте для госсектора с присутствием в более чем 10 субъектах рф свободная атмосфера, молодой дружелюбный коллектив гибкие методологии управления проектами возможность внести свой вклад в развитие продукта руководство, открытое к диалогу, новым идеям и предложениям постоянное обучение, посещение отраслевых мероприятий возможность публикации научных работ и поездок на профильные конференции","участие в развитии ведомственной информационной системы, внедренной более чем в 10 регионах рф, создание нового функционала, доработка существующего, рефакторинг, участие в code-review опыт использования javascript, понимание сборочного процесса и ограничений, им накладываемых; уверенное знание ext js и/или react или готовность пересесть на эти фреймворки; что мы имеем в виду под уверенным знанием react: опыт использования в проектах (а т.ч. pet project’ах), умение работать с npm, понимание, когда нужны webpack и babel, а еще важнее – понимание, когда они не нужны; что мы имеем в виду под уверенным знанием ext js: опыт использования в проектах (а т.ч. pet project’ах), будет плюсом опыт использования ant офис в центре города работа в проекте для госсектора с присутствием в более чем 10 субъектах рф свободная атмосфера, молодой дружелюбный коллектив гибкие методологии управления проектами возможность внести свой вклад в развитие продукта руководство, открытое к диалогу, новым идеям и предложениям постоянное обучение, посещение отраслевых мероприятий возможность публикации научных работ и поездок на профильные конференции",frontend разработчик,Тюмень,60000.0,,КБ-Информ,2019-10-08T15:27:24+0300,between1And3,full,fullDay,JavaScript|Ext JS|ANT|React|Git|npm|Linux|rhino|sencha
956,956,,"белая конкурентная зп, официальное оформление возможность влиять на разработку и сразу видеть результат своей работы гибкий график работы, возможность выбора рабочего оборудования дмс, льготная ипотека, парковка и другие &quot;плюшки&quot; комфортный офис с хорошей инфраструктурой в окрестностях",,"жилищная экосистема втб — это it-стартап на стыке рынков недвижимости и финтеха. мы команда профессионалов с абсолютно разным бэкграундом из крупнейших it компаний, российских и международных банков. в нашу команду открыта вакансия frontend-разработчика . мы строим высоконагруженную систему на базе микросервисной архитектуры с использованием современного и актуального стека: frontend: node.js, react, typescript backend: java, scala, akka, spring, akka streams, grpc наша цель — создать жилищную экосистему, которая станет сервисом номер один на рынке недвижимости. это платформа, которая поможет тысячам жителей россии легко пройти путь от выбора нового жилья до заселения в отремонтированную квартиру. чем предстоит заниматься: проектировать решения совместно с бэкенд-разработчиками разрабатывать интерфейсы, писать серверный и клиентский js-код развивать и поддерживать внутреннюю ui-библиотеку верстать писать тесты code review что мы ждем от кандидатов: опыт в разработки больших приложений уверенные знания javascript знание html/css опыт работы с react (или другими популярными фреймворками) гибкость в подходах и готовность к экспериментам умение доводить начатое до релиза будет плюсом: опыт работы с node.js typescript белая конкурентная зп, официальное оформление возможность влиять на разработку и сразу видеть результат своей работы гибкий график работы, возможность выбора рабочего оборудования дмс, льготная ипотека, парковка и другие &quot;плюшки&quot; комфортный офис с хорошей инфраструктурой в окрестностях",frontend разработчик,Санкт-Петербург,130000.0,,Жилищная Экосистема ВТБ,2019-10-09T09:56:20+0300,between3And6,full,fullDay,JavaScript|React|Node.js|TypeScript
579,579,разработка frontend-части web-приложений компании участие в планировании спринтов адекватная оценка задач написание качественного кода,офис в центре города (3 минуты от метро пушкинская) молодой и дружный коллектив интересные задачи и разнообразные проекты,"уверенно знание современного стека javascript (react, es6+) навыки написания тестов для frontend-приложений умение работать в команде умение работать с баг-трекинговыми системами (мы используем jira) офис в центре города (3 минуты от метро пушкинская) молодой и дружный коллектив интересные задачи и разнообразные проекты","в недавно открывшийся офис компании autobidmaster в санкт-петербурге требуется frontend-разработчик компания autobidmaster оказывает брокерские услуги в области приобретения автомобилей с аукционной площадки copart.com наше стремление - постоянное развитие, которого мы добиваемся конкурентной обстановкой внутри команды. разработка frontend-части web-приложений компании участие в планировании спринтов адекватная оценка задач написание качественного кода уверенно знание современного стека javascript (react, es6+) навыки написания тестов для frontend-приложений умение работать в команде умение работать с баг-трекинговыми системами (мы используем jira) офис в центре города (3 минуты от метро пушкинская) молодой и дружный коллектив интересные задачи и разнообразные проекты",frontend разработчик,Санкт-Петербург,150000.0,,Autobidmaster,2019-10-09T12:05:48+0300,between3And6,full,fullDay,JavaScript|Git|React|SailsJS|CSS|Redux
699,699,"участие в проектах по созданию и сопровождению веб-приложений в составе команды разработки уточнение и оценка задач во взаимодействии с тимлидом, оунерами, дизайнерами, руководителями проектов подготовка решений по фронтенд-части и её интеграции с бэкендом во взаимодействии с командой разработки, при проектировании веб-приложений вёрстка графических пользовательских веб-интерфейсов разработка логики фронтенд-части веб-приложений документирование системы в части фронтенда",,"знание javascript, html 5, css 3, bootstrap 4 опыт работы с react и rest опыт работы с jquery и ajax опыт работы с svg опыт работы с css-препроцессорами знание структур данных опыт работы в команде с использованием git и jira опыт адаптивной, кроссбраузерной верстки умение предлагать решения и работать без макетов","группа компаний «омега» - один из лидеров российского рынка в области разработки, внедрения и сопровождения информационных систем на базе технологий 1с для государственного сектора и частного бизнеса. мы приглашаем присоединиться к нашей команде frontend - разработчика. участие в проектах по созданию и сопровождению веб-приложений в составе команды разработки уточнение и оценка задач во взаимодействии с тимлидом, оунерами, дизайнерами, руководителями проектов подготовка решений по фронтенд-части и её интеграции с бэкендом во взаимодействии с командой разработки, при проектировании веб-приложений вёрстка графических пользовательских веб-интерфейсов разработка логики фронтенд-части веб-приложений документирование системы в части фронтенда знание javascript, html 5, css 3, bootstrap 4 опыт работы с react и rest опыт работы с jquery и ajax опыт работы с svg опыт работы с css-препроцессорами знание структур данных опыт работы в команде с использованием git и jira опыт адаптивной, кроссбраузерной верстки умение предлагать решения и работать без макетов будет плюсом: опыт работы с angular, vue.js, node.js знание основ php опыт работы с laravel понимание паттерна mvc и парадигмы ооп опыт работы с графическими редакторами мы предлагаем: работа в дружной команде на базе крупной ит-компании (20 лет на рынке) – у нас демократично и есть с кем посоветоваться. участие в проектах международного, федерального и регионального уровней – чем больше масштаб, тем выше премии. интересные, актуальные и сложные задачи – отличная возможность развиваться в такт с индустрией на реальных примерах. работаем над полезными и социально-значимыми продуктами. полностью белая заработная плата. карьерный рост и обучение за счёт компании. несколько этажей бц на синопской набережной – красивый, комфортный офис с кухней и местами отдыха. льготный дмс со стоматологией после испытательного срока. стол для настольного тенниса – вечерние чемпионаты с коллегами, превосходный кофе в автомате за 10 рублей и много разных «плюшек». корпоративные мероприятия и тимбилдинги – например, в этом году нам двадцать лет и будет грандиозное мероприятие. одна из наших ценностей экологичность – делаем много для сохранения нашей планеты чистой, у нас есть собственные разработки для раздельного сбора, мы устраиваем различные экофесты.",frontend разработчик,Санкт-Петербург,,,Омега,2019-10-07T15:29:27+0300,between1And3,full,fullDay,JavaScript|Bootstrap|jQuery|Git|MVC
1311,1311,,,,"российская транснациональная компания, владеющая одноимённой системой поиска в сети, интернет-порталами и службами в нескольких странах объявляет конкурс на позицию frontend-разработчика в городе екатеринбург. !!! для кандидатов, готовых к переезду из других городов есть релокационный пакет. чем предстоит заниматься? разрабатывать интерфейсные компоненты (инфраструктура и веб-интерфейсы); разработкой клиентской логики на javascript; визуализацией данных, дизайном, версткой; поддержкой существующих сервисов (react, redux, backbone); работой на прототипами и интерфейсами для внутренних аналитических инструментов. вы подходите, если обладаете: опытом в промышленной разработке на js; знаете node.js и es6; хорошим знанием html/css; умением работать с git. компания предлагает: полное соответствие тк рф, &quot;белый&quot; заработок; расширенный социальный пакет (дмс со стоматологией с первого рабочего дня и др.) релокация для иногородних; регулярный пересмотр уровня дохода; постоянное обучение, развитие скиллов; дотации на питание; активная и интересная корпоративная жизнь; комфортный современный офис в центре екатеринбурга.",frontend разработчик,Тюмень,,,ANCOR FinTech,2019-09-18T13:30:39+0300,between1And3,full,fullDay,JavaScript|Node.js|CSS|Git|HTML
