,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
70,70,,"трудоустройство по тк рф участие в интересных проектах обеспечение всей необходимой техникой комфортный офис напротив метро петроградская кухня, завтраки, кофе\чай\сладости\фрукты. рост и бонусы молодой и дружелюбный коллектив /будем благодарны за подробную информацию о себе в отклике/",,"компания buidl - это # современные стек технологии; # интересная предметная область, финансы и блокчейн; # современные архитектурные подходы; # гибкие условия по графику, нет лишнего формализма; свободный подход в общении в коллективе; # молодая и дружная команда; # разработка технически сложных систем. # разнообразные направления проектов от более близких к “железу” до высоконагруженных и высокодоступных финансовых и информационных сервисов. для развертывания и интеграции проектов компании, на серверах и кластерах, сопровождения разработки и эксплуатации, приглашаем devops-инженера. стек : ubuntu/debian/android/ios, gitlab, gitlab-ci, docker, kubernetes, postgresql, node.js, asp.net core, python, bash, elk, zabbix задачи : организация конвейеров поставки по для проектов компании в рамках ci/cd процессов сборка кода для разных языков программирования и под разные платформы интеграция с тестовыми окружениями настройка логов и мониторинга формирование комплектов поставки и пакетов для операционных систем смежные задачи будет плюсом: опыт работы devops; опыт в использовании одного или нескольких продуктов для формирования ci/cd процессов. gitlab ci будет преимуществом; работа с контейнерами и виртуализацией; если использовали docker – хорошо, а если k8s – отлично! опыт работы в agile-команде; знание любого языка программирования; трудоустройство по тк рф участие в интересных проектах обеспечение всей необходимой техникой комфортный офис напротив метро петроградская кухня, завтраки, кофе\чай\сладости\фрукты. рост и бонусы молодой и дружелюбный коллектив /будем благодарны за подробную информацию о себе в отклике/",devops инженер,Санкт-Петербург,,100000.0,BUIDL LLC,2019-10-05T21:34:22+0300,between1And3,full,fullDay,continuous delivery|continuous integration|DevOps|Git|Docker|elk|k8s|gitlab|Bash|devSecOps|Kubernetes|CI/CD
1355,1355,,5-дневная рабочая неделя: с 9:00 до 18:00; трудоустройство в соответствии с тк рф; оклад + бонусы по kpi корпоративная библиотека; молодой дружный коллектив.,,"федеральная компания этажи оказывает нужную и важную услугу по сопровождению сделок на рынке недвижимости уже более 18 лет. сейчас нас уже свыше 9 000 человек. на данный момент мы представлены в 88 городах в 6 странах. головной офис находится в нефтяной столице - тюмени. мы работаем с 40 застройщиками, являемся стратегическими партнерами тдск, пск &quot;дом&quot;, сбербанка и втб24. что мы ожидаем от кандидатов: опыт работы с git; опыт написания скриптов на golang, python или bash; опыт администрирования linux; понимание базовых утилит linux (awk, grep, sed и т.д.); хорошее знание сетевого стека (tcp/ip, dns, dhcp, vxlan); опыт работы с docker от 2х лет; опыт работы с ansible; опыт администрирования postgresql, mysql, nginx; быть готовым и иметь желание учиться новым технологиям; способность быстро принимать решения; дополнительным преимуществом будет: знание языков программирования: golang, php или любого другого ооп языка; представление о работе kubernetes; опыт построения ci/di; опыт настройки/использования elk-стека, grafana + prometheus или influxdb; чем предстоит заниматься: построение процессов ci/cd на базе concourse ci; обеспечение бесперебойной работы информационных систем компании; мониторинг инфраструктуры; автоматизация процессов на bash/ansible/golang; ведение документации. 5-дневная рабочая неделя: с 9:00 до 18:00; трудоустройство в соответствии с тк рф; оклад + бонусы по kpi корпоративная библиотека; молодой дружный коллектив.",devops инженер,Тюмень,70000.0,,"Этажи, федеральная компания",2019-09-19T06:04:59+0300,between1And3,full,fullDay,
419,419,,,,"компания «сбербанк», департамент информационных технологий, сейчас в поисках специалиста на позицию devops-инженера по сопровождению тестовых сред ас. команда включает в себя разработчиков, аналитиков, тестировщиков. мы ожидаем, что вы: имеете навыки администрирования ос linux (rhel/centos)/ windows; имеете опыт администрирования субд oracle/ms sql; имеете опыт администрирования серверов приложений на уровне прикладного администратора (wildfly, ibm webshere); знаете основ sql; имеете опыт работы с инструментами devops (jenkins, ansible); обладаете знанием скриптовых языков программирования (bash / power shell / python); знаете базовые понятия процессов тестирования вам предстоит: администрирование прикладного программного обеспечения стендов тестирования: управление обновлениями, настройками, мониторинг, восстановление после сбоев, планирование изменений, предупреждением и решение инцидентов; выявление и устранение дефектов инсталляции приложений; реализация и развитие решений continuous deployment и технических smoke тестов; разработка и развитие автоматизации внутренних сервисов и задач администрирования; разработка методов оптимизации работы и повышения производительности работа у нас — это: команда профессионалов, готовых поддержать ваши инициативы; мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы; возможность работы с новыми технологиями; обучение за счёт компании; гибкий график красивый и комфортный офис; дмс; прозрачная система бонусов и премий, достойная зарплата — размер обсудим на собеседовании.",devops инженер,Санкт-Петербург,,,Сбербанк,2019-10-04T18:45:37+0300,between1And3,full,fullDay,
