,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
303,303,"доработка проектов наши технологии php, mysql, jquery, yii2, angular 7","обязательно наличие ип, т.к. оплата труда - это денежные переводы из-за границы. если у вас еще нет ип, то ничего страшного, мы поможем его открыть и объясним как работает интернет-банкинг. мы можем дать от 10-15 часов в неделю как overtime. зп от 10$ до 15$ в час в зав-ти от вашего опыта и умений.","опыт программирования на php от 6 лет - обязательно опыт с jquery - обязательно angular2 и выше - желательно, но не обязательно yii2 - желательно, но не обязательно обязательно наличие ип, т.к. оплата труда - это денежные переводы из-за границы. если у вас еще нет ип, то ничего страшного, мы поможем его открыть и объясним как работает интернет-банкинг. мы можем дать от 10-15 часов в неделю как overtime. зп от 10$ до 15$ в час в зав-ти от вашего опыта и умений.","доработка проектов наши технологии php, mysql, jquery, yii2, angular 7 опыт программирования на php от 6 лет - обязательно опыт с jquery - обязательно angular2 и выше - желательно, но не обязательно yii2 - желательно, но не обязательно обязательно наличие ип, т.к. оплата труда - это денежные переводы из-за границы. если у вас еще нет ип, то ничего страшного, мы поможем его открыть и объясним как работает интернет-банкинг. мы можем дать от 10-15 часов в неделю как overtime. зп от 10$ до 15$ в час в зав-ти от вашего опыта и умений.",php разработчик,Санкт-Петербург,36000.0,60000.0,EMSoft LLC,2019-09-14T18:04:48+0300,moreThan6,part,remote,MySQL|jQuery|PHP|PHP5|Yii
824,824,,,,"мы занимаемся хостингом . сейчас у нас более 150 000 активных пользователей, примерно каждый десятый сайт в рунете размещается у нас. наши основные программные продукты: панели управления хостингом, vds и выделенными серверами, регистрации доменов и заказа ssl, почтовый сервис, внутренняя crm. наши клиенты считают панель управления одной из самых удобных на рынке, но мы не останавливаемся в её развитии, и поэтому ищем программиста php . кандидатам из других городов готовы предложить релокационный пакет. как мы работаем: пишем качественный код на php 7.3; используем yii 2; стучимся в rest api; покрываем код тестами при помощи codeception; применяем code review и работаем по git flow; для автоматизации цепочки ci/cd по полной используем gitlab; в разработке используем docker, активно развиваем kubernetes-кластер для production; работаем продуктовыми командами по agile. спринт — 1 неделя; проводим совместное техническое проектирование и планирование задач спринта. задачи для вас: участие в развитии внутренних продуктов; взаимодействие с сервисной инфраструктурой; разработка сервисов и api; построение и улучшение архитектуры системы; анализ требований, проектирование решений, оценка технических задач. мы ждем от вас: знание и опыт php 7.*; знание основных php-фреймворков не понаслышке; опыт использования mysql / postgresql / redis / rabbitmq; знание основных принципов api (rest api, json api, soap); чистый код, уважение к tdd; опыт enterprise разработки; умение работать в команде, делиться своим мнением и прислушиваться к мнению других. у нас вы сможете получить знания и навыки: использования и разработки сложной архитектуры корпоративных приложений; построения процессов разработки; применения docker и kubernetes; автоматизации gitlab ci/cd; языков программирования go, python, javascript. а также удовольствие от работы в сильной команде :) мы предлагаем: гибкое начало рабочего дня; официальное трудоустройство и белую заработную плату. мы всячески приветствуем здоровый образ жизни и предоставим вам: оплачиваемые обеды на любой вкус (от вегетарианских предпочтений до домашней кухни); компенсацию ваших спортивных занятий; дмс; уютную кухню с вкусными сортами чая и ароматным кофе, молоком и фруктами; комнату отдыха с настольным теннисом и турником.",php разработчик,Санкт-Петербург,100000.0,180000.0,ТаймВэб,2019-10-09T12:39:25+0300,between1And3,full,fullDay,Git|MySQL|PHP|Linux|JSON API|JavaScript|Yii|PostgreSQL
430,430,"разработка и внедрение новых модулей, сервисов, компонентов и скриптов; разработка php, javascript, bitrix framework, html v5, css; анализ программных кодов на соответствие принципам безопасной разработки приложений; разработка технической и проектной документации, оценка сроков; настройка linux, apache, mysql, php; оптимизация и функциональная доработка сайта; техническая поддержка пользователей.","оформление по тк рф, «белая» заработная плата, социальные гарантии; режим работы: пятидневная рабочая неделя с 09.00 до 18.00, обед с 13.00 до 14.00; работа в стабильной и надежной компании; комфортный современный офис в бизнес-центре в 5 минутах ходьбы от метро.","знание php, mysql, javascript (jquery, ajax), html, css, xml/json; опыт разработки нестандартного функционала (модули, компоненты, интеграция через стороннее api); опыт разработки технической документации (тз). оформление по тк рф, «белая» заработная плата, социальные гарантии; режим работы: пятидневная рабочая неделя с 09.00 до 18.00, обед с 13.00 до 14.00; работа в стабильной и надежной компании; комфортный современный офис в бизнес-центре в 5 минутах ходьбы от метро.","разработка и внедрение новых модулей, сервисов, компонентов и скриптов; разработка php, javascript, bitrix framework, html v5, css; анализ программных кодов на соответствие принципам безопасной разработки приложений; разработка технической и проектной документации, оценка сроков; настройка linux, apache, mysql, php; оптимизация и функциональная доработка сайта; техническая поддержка пользователей. знание php, mysql, javascript (jquery, ajax), html, css, xml/json; опыт разработки нестандартного функционала (модули, компоненты, интеграция через стороннее api); опыт разработки технической документации (тз). оформление по тк рф, «белая» заработная плата, социальные гарантии; режим работы: пятидневная рабочая неделя с 09.00 до 18.00, обед с 13.00 до 14.00; работа в стабильной и надежной компании; комфортный современный офис в бизнес-центре в 5 минутах ходьбы от метро.",php разработчик,Санкт-Петербург,90000.0,,ЭксКонт,2019-10-09T16:15:17+0300,between3And6,full,fullDay,1С-Битрикс|PHP|jQuery|JavaScript|MySQL|Ajax|Linux|HTML|CSS|Apache HTTP Server|Разработка технических заданий
363,363,,,,"«санкт-петербургский информационно аналитический центр» с 1980 года улучшает качество жизни петербуржцев, автоматизируя городские процессы и государственные органы. в нашей команде - более 600 профессионалов. в портфолио компании - 50 действующих проектов в санкт-петербурге и других регионах. наши проекты побеждают в общероссийских и международных конкурсах. содержание работы: ищем разработчика php для проекта, связанного с благоустройством города. разработка подсистем на базе symfony, документооборот, электронная подпись, soap и rest сервисы, межсистемное взаимодействие - то, с чем придется работать. требуемые навыки: опыт работы с php не менее года знание одного из фреймворков symfony / laravel / yii знание основ верстки html, css, javascript, умение сверстать страницу по макету; знание soap, json, rest представление о современных web технологиях; желание развиваться самостоятельно и вместе с командой, изучать и применять новые технологии, лучшие практики. ваши дополнительные преимущества: знание bootstrap, jquery, vue, angular и других frontend фич; знание библиотек для работы с пространственными данными (openlayers или leaflet); опыт работы с postgresql; опыт работы с svn / git / gitlab; знание инструментов миграции бд (flyway, liquibase и т.д.); знание основ работы с linux; наличие портфолио github.com мы готовы предложить успешным кандидатам: влиться в большой дружный коллектив, стать частью команды увлеченных, целеустремленных людей; конкурентоспособный уровень заработной платы, который мы готовы обсудить с успешными кандидатами на собеседовании; оплачиваемые переработки, бонусы и премии по результатам работы; оплачиваемые отпуска и больничные, полностью «белая» заработная плата дважды в месяц; рабочий график – пятидневка с 9 до 18 часов, по пятницам до 17; офис около ст. метро «обводный канал»; возможность внести свой значимый вклад в развитие городской автоматизации!",php разработчик,Санкт-Петербург,,,СПбИАЦ,2019-10-07T16:33:30+0300,between1And3,full,fullDay,Git|JavaScript|jQuery|AngularJS|CSS
404,404,,,,"vigrom сегодня – международная компания, разрабатывающая и поддерживающая онлайн-игры, приложения под мобильные устройства. уже более 8 лет мы даем возможность почувствовать эмоции, ставить амбициозные цели, играть и побеждать.на сегодняшний день в офисах компании и удаленно работает более 120 сотрудников из россии, латвии и великобритании. мы ищем классного специалиста в сложный и масштабный проект. стек наших технологий: php 7, postgresql 10, memcache, компоненты symfony, phpunit, docker, webpack, gitlab ci. тебе предстоит: работа над новым функционалом, непрерывные улучшения и оптимизации текущего; коммуникация с командами мобильной разработки и разработки игр. поиски оптимальных вариантов реализации (архитектура, api, сервисы); unit- и api-тестирование; проведение code review; участие в технологическом развитии проекта (выбор новых технологий и подходов к разработке); обеспечение качества кода на всех этапах разработки. отлично, если у тебя есть: опыт разработки веб-приложений и сервисов от 2х лет; уверенное владение php, sql; понимание ооп и принципов solid; применение модульного тестирования. большим плюсом будет: опыт работы в долгосрочных проектах; опыт работы с postgresql; знание дополнительных языков - javascript, python. главные причины работать у нас: высокая заработная плата + бонусы за результат; профессиональное обучение за счет компании: внутреннее и внешнее; свободный график начала работы; корпоративные мероприятия, открытое общение с коллегами как в сети, так и в реальном мире :)",php разработчик,Санкт-Петербург,,,Vigrom Corp.,2019-09-13T14:36:10+0300,between1And3,full,remote,
831,831,,наш офис расположен в крупном бизнес-центре рядом со ст. м.электросила мы вместе ходим на обед работаем в приятельской и теплой атмосфере ( с отоплением) соблюдаем тк рф не забываем о пересмотре заработной платы следим за здоровьем сотрудников (дмс после 6 месяцев) поддерживаем теорию о здоровом духе в здоровом теле ( компенсируя половину стоимости абонемента в любой фитнес- клуб нашего города). ждем твое резюме!,,"компания дистэйт разрабатывает веб-приложение , которое помогает не только упростить людям жизнь , но и сделать ее чуточку экологичнее:) сейчас расширяемся и ищем в команду несколько php - разработчиков , которые будут активно разрабатывать новый функционал и надежно поддерживать существующие проекты. хотелось бы видеть у кандидата: опыт работы в качестве backend разработчика на php от 1 года, уверенные знания php 5.6+ (у нас php 7.2), опыт работы с одним из фреймворков (у нас symfony) наш офис расположен в крупном бизнес-центре рядом со ст. м.электросила мы вместе ходим на обед работаем в приятельской и теплой атмосфере ( с отоплением) соблюдаем тк рф не забываем о пересмотре заработной платы следим за здоровьем сотрудников (дмс после 6 месяцев) поддерживаем теорию о здоровом духе в здоровом теле ( компенсируя половину стоимости абонемента в любой фитнес- клуб нашего города). ждем твое резюме!",php разработчик,Санкт-Петербург,,,ДиСтэйт,2019-10-03T18:44:46+0300,between1And3,full,fullDay,
